// 這是第一次“起草”的機器人玩家暱稱翻譯，以不凡的二字詞彙儘可能地表現出原意。
// 但在實際遊戲體驗中卻少了生動感，因此在用語、字數方面作出調整。請見正式檔案 `bots.txt`
獄火	ignis	0	4	0	0	0	0	-0.5	-1	1	1	-0.5	-1	-1	2	0.5	-1
惡毒	gakmasked	0	14	7	0	-1	-1.5	-0.5	0	1	0	0	0	2	-0.5	-0.5	1
尋覓	erebus	0	2	6	0	0	-1	-0.5	-0.5	1	-0.5	0.5	1.5	-0.5	-1	1	0.5
希望	umbra	0	13	11	0	1	1	1	1	-1	0	0.5	0	-2	0	-1	0
驚喜	umbra	0	12	7	0	0	0	-1.5	-0.5	-0.5	0	0	0	0	-0.5	1.5	1.5
天真	ignis	0	11	1	0	-1	-1.5	-1	-0.5	1	1	-1	1	-0.5	1	0.5	0
巨鱷	gak	0	3	10	0	0	1	0	0.5	-0.5	0.5	-0.5	-1	0	0	-0.5	0
迷夢	gakmasked	0	8	12	0	0	-1	-1	-1	0	2	0	1	0	2	-1	-1
亡命	gakmasked	0	4	11	0	-0.5	0	0	1	-0.5	0	1	0	0	0	0	0
危難	ignismasked	0	13	13	0	0	-1	0	-0.5	0.5	1	0	1	-2	1	0	0
暗蝕	nyx	0	12	14	0	0	0	0	1	0	-1	-0.5	-1	1	0	0	0
統領	nyx	0	3	9	0	0	0	0	2	-1	0	0	0	-1	0	0	0
雷霆	erebus	0	13	6	0	0	0	0	-0.5	-1	1	0.5	0.5	-0.5	0	0.5	0
奧秘	pyria	0	9	14	0	1	1	1	1	-1	-1	0	1	1	-2	-1	-1
雄獅	ignismasked	0	0	4	0	1	1.5	2	-1	-1	-1	1	0	1	-0.5	-1	-1
感性	seraphina	0	9	9	0	0	0	0.5	-1	0	-1	0	-1	2.5	-1.5	1	0.5
霞影	seraphinamasked	0	4	8	0	-0.5	2	1	0	0	-1	0	-1	0	1	-1	-0.5
新生	umbra	0	1	1	0	0	-0.5	-0.5	0	2	-1	-1	-1	0	-1	1	1
