//機器人配置：
// 預設團隊值（可用於指定團隊）：1 = 紅隊, 2 = 藍隊, 3 = 黃隊, 4 = 粉隊
// 在“襯衫顏色”或“褲子顏色”指定 -1 以使用隨機顏色
//
//   【警告】：只允許以一個 Tab 分隔
//
//   【提示】：若想在視覺上對齊各項，可設定編輯器的縮排寬度為 16
//
//名字	模型	顏色：皮膚	襯衫	褲子	團隊	機器水平：鍵盤使用	移動	躲避	延遲	武器使用	激進度	範圍	瞄準	calmhand	滑鼠	戰鬥思考	智慧思考
獄火	ignis	0	4	0	0	0	0	-0.5	-1	1	1	-0.5	-1	-1	2	0.5	-1
惡毒	gakmasked	0	14	7	0	-1	-1.5	-0.5	0	1	0	0	0	2	-0.5	-0.5	1
新發現	erebus	0	2	6	0	0	-1	-0.5	-0.5	1	-0.5	0.5	1.5	-0.5	-1	1	0.5
天馬行空	umbra	0	13	11	0	1	1	1	1	-1	0	0.5	0	-2	0	-1	0
小驚喜	umbra	0	12	7	0	0	0	-1.5	-0.5	-0.5	0	0	0	0	-0.5	1.5	1.5
有點呆	ignis	0	11	1	0	-1	-1.5	-1	-0.5	1	1	-1	1	-0.5	1	0.5	0
大鱷魚	gak	0	3	10	0	0	1	0	0.5	-0.5	0.5	-0.5	-1	0	0	-0.5	0
不醒迷夢	gakmasked	0	8	12	0	0	-1	-1	-1	0	2	0	1	0	2	-1	-1
亡命	gakmasked	0	4	11	0	-0.5	0	0	1	-0.5	0	1	0	0	0	0	0
危難	ignismasked	0	13	13	0	0	-1	0	-0.5	0.5	1	0	1	-2	1	0	0
暗蝕	nyx	0	12	14	0	0	0	0	1	0	-1	-0.5	-1	1	0	0	0
統領	nyx	0	3	9	0	0	0	0	2	-1	0	0	0	-1	0	0	0
雷霆風暴	erebus	0	13	6	0	0	0	0	-0.5	-1	1	0.5	0.5	-0.5	0	0.5	0
奧妙	pyria	0	9	14	0	1	1	1	1	-1	-1	0	1	1	-2	-1	-1
雄獅	ignismasked	0	0	4	0	1	1.5	2	-1	-1	-1	1	0	1	-0.5	-1	-1
心有靈犀	seraphina	0	9	9	0	0	0	0.5	-1	0	-1	0	-1	2.5	-1.5	1	0.5
暮光霞影	seraphinamasked	0	4	8	0	-0.5	2	1	0	0	-1	0	-1	0	1	-1	-0.5
重獲新生	umbra	0	1	1	0	0	-0.5	-0.5	0	2	-1	-1	-1	0	-1	1	1
